U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
48,00V;48,01V;6,00A;1,21A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:21.104
48,00V;48,01V;6,00A;1,21A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:21.198
48,00V;48,01V;6,00A;1,21A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:21.293
48,00V;48,01V;6,00A;1,21A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:21.402
48,00V;48,01V;6,00A;1,21A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:21.495
48,00V;48,01V;6,00A;1,20A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:21.606
48,00V;48,01V;6,00A;1,20A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:21.701
48,00V;48,01V;6,00A;1,20A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:21.795
48,00V;48,01V;6,00A;1,21A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:21.905
48,00V;48,01V;6,00A;1,20A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:21.997
48,00V;48,01V;6,00A;1,21A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:22.105
48,00V;48,01V;6,00A;1,52A;350W;73W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:22.198
48,00V;48,01V;6,00A;1,76A;350W;85W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:22.292
48,00V;48,01V;6,00A;2,36A;350W;113W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:22.402
48,00V;48,01V;6,00A;2,69A;350W;129W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:22.495
48,00V;48,01V;6,00A;3,40A;350W;163W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:22.605
48,00V;48,00V;6,00A;4,22A;350W;202W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:22.700
48,00V;48,01V;6,00A;4,63A;350W;222W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:22.796
48,00V;48,01V;6,00A;4,93A;350W;237W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:22.906
48,00V;48,01V;6,00A;4,99A;350W;239W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:22.998
48,00V;48,01V;6,00A;4,98A;350W;239W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:23.093
48,00V;48,01V;6,00A;4,90A;350W;235W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:23.203
48,00V;48,01V;6,00A;4,85A;350W;233W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:23.298
48,00V;48,01V;6,00A;4,78A;350W;229W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:23.392
48,00V;48,01V;6,00A;4,76A;350W;228W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:23.501
48,00V;48,01V;6,00A;4,61A;350W;221W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:23.595
48,00V;48,01V;6,00A;4,57A;350W;219W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:23.703
48,00V;48,01V;6,00A;4,54A;350W;218W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:23.798
48,00V;48,01V;6,00A;4,53A;350W;217W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:23.891
48,00V;48,01V;6,00A;4,47A;350W;215W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:23.999
48,00V;48,01V;6,00A;4,42A;350W;212W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:24.094
48,00V;48,01V;6,00A;4,43A;350W;213W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:24.203
48,00V;48,01V;6,00A;4,40A;350W;211W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:24.297
48,00V;48,01V;6,00A;4,43A;350W;212W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:24.392
48,00V;48,01V;6,00A;4,40A;350W;211W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:24.500
48,00V;48,01V;6,00A;4,40A;350W;211W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:24.594
48,00V;48,01V;6,00A;4,41A;350W;211W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:24.703
48,00V;48,01V;6,00A;4,38A;350W;210W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:24.797
48,00V;48,01V;6,00A;4,36A;350W;209W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:24.891
48,00V;48,01V;6,00A;4,34A;350W;208W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:24.997
48,00V;48,01V;6,00A;4,30A;350W;206W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:25.105
48,00V;48,01V;6,00A;4,28A;350W;206W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:25.199
48,00V;48,01V;6,00A;4,30A;350W;206W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:25.294
48,00V;48,01V;6,00A;4,29A;350W;206W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:25.404
48,00V;48,01V;6,00A;4,23A;350W;203W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:25.498
48,00V;48,01V;6,00A;4,23A;350W;203W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:25.592
48,00V;48,01V;6,00A;4,23A;350W;203W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:25.700
48,00V;48,01V;6,00A;4,22A;350W;202W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:25.794
48,00V;48,01V;6,00A;4,25A;350W;204W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:25.903
48,00V;48,01V;6,00A;4,23A;350W;203W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:25.997
48,00V;48,01V;6,00A;4,31A;350W;207W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:26.091
48,00V;48,01V;6,00A;4,28A;350W;205W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:26.200
48,00V;48,01V;6,00A;4,27A;350W;205W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:26.295
48,00V;48,01V;6,00A;4,26A;350W;205W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:26.406
48,00V;48,01V;6,00A;4,22A;350W;202W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:26.498
48,00V;48,01V;6,00A;4,24A;350W;204W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:26.591
48,00V;48,01V;6,00A;4,28A;350W;205W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:26.703
48,00V;48,01V;6,00A;4,25A;350W;204W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:26.797
48,00V;48,01V;6,00A;4,24A;350W;204W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:26.891
48,00V;48,01V;6,00A;4,24A;350W;203W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:26.998
48,00V;48,01V;6,00A;4,21A;350W;202W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:27.092
48,00V;48,01V;6,00A;3,78A;350W;181W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:27.202
48,00V;48,01V;6,00A;3,05A;350W;147W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:27.296
48,00V;48,01V;6,00A;2,71A;350W;130W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:27.391
48,00V;48,01V;6,00A;2,13A;350W;102W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:27.498
48,00V;48,01V;6,00A;1,87A;350W;90W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:27.592
48,00V;48,01V;6,00A;1,40A;350W;67W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:27.702
48,00V;48,01V;6,00A;1,03A;350W;50W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:27.796
48,00V;48,01V;6,00A;0,88A;350W;42W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:27.891
48,00V;48,01V;6,00A;0,63A;350W;30W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:28.001
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:28.095
48,00V;48,01V;6,00A;0,57A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:28.204
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:28.299
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:28.393
48,00V;48,01V;6,00A;0,55A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:28.501
48,00V;48,01V;6,00A;0,55A;350W;26W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:28.595
48,00V;48,01V;6,00A;0,55A;350W;26W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:28.705
48,00V;48,01V;6,00A;0,55A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:28.799
48,00V;48,01V;6,00A;0,55A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:28.893
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:29.003
48,00V;48,01V;6,00A;0,55A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:29.097
48,00V;48,01V;6,00A;0,55A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:29.192
48,00V;48,01V;6,00A;0,55A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:29.303
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:29.397
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:29.492
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:29.601
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:29.694
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:29.806
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:29.898
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:29.992
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:30.101
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:30.196
48,00V;48,01V;6,00A;0,56A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:30.306
48,00V;48,01V;6,00A;0,57A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:30.401
48,00V;48,01V;6,00A;0,57A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:30.493
48,00V;48,01V;6,00A;0,57A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:30.603
48,00V;48,01V;6,00A;0,57A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:30.697
48,00V;48,01V;6,00A;0,57A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:30.805
48,00V;48,01V;6,00A;0,57A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:30.901
48,00V;48,01V;6,00A;0,57A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:30.993
48,00V;48,01V;6,00A;0,57A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:31.103
48,00V;48,01V;6,00A;0,57A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:31.196
48,00V;48,01V;6,00A;0,57A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:31.291
48,00V;48,01V;6,00A;0,57A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:31.400
48,00V;48,01V;6,00A;0,57A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:31.494
48,00V;48,01V;6,00A;0,57A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:31.602
48,00V;48,01V;6,00A;0,57A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:31.695
48,00V;48,01V;6,00A;0,57A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:31.803
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:31.896
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:32.005
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:32.098
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:32.192
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:32.303
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:32.397
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:32.493
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:32.601
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:32.695
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:32.805
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:32.897
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:33.006
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:33.101
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:33.195
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:33.303
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:33.397
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:33.491
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:33.601
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:33.695
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:33.804
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:33.897
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:34.005
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:34.099
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:34.193
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:34.304
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:34.399
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:34.492
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:34.602
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:34.697
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:34.806
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:34.900
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:34.995
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:35.103
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:35.196
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:35.306
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:35.401
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:35.494
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:35.604
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:35.697
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:35.792
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:35.903
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:35.996
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:36.091
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:36.201
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:36.295
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:36.404
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:36.498
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:36.591
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:36.700
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:36.794
48,00V;48,01V;6,00A;0,58A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:36.903
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:36.996
48,00V;48,01V;6,00A;0,59A;350W;28W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:37.102
48,00V;48,01V;6,00A;0,55A;350W;27W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:37.195
48,00V;48,01V;6,00A;0,49A;350W;23W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:37.305
48,00V;48,01V;6,00A;0,39A;350W;19W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:37.399
48,00V;48,01V;6,00A;0,37A;350W;18W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:37.492
48,00V;48,01V;6,00A;0,35A;350W;17W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:37.603
48,00V;48,01V;6,00A;0,34A;350W;16W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:37.697
48,00V;48,01V;6,00A;0,28A;350W;14W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:37.791
48,00V;48,01V;6,00A;0,10A;350W;5W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:37.901
48,00V;48,01V;6,00A;0,09A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:37.995
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:38.104
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:38.197
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:38.292
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:38.401
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:38.495
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:38.605
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:38.699
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:38.793
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:38.903
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:38.996
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:39.105
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:39.200
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:39.292
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:39.401
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:39.495
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:39.604
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:39.697
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:39.791
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:39.899
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:39.993
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:40.102
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:40.196
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:40.305
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:40.399
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:40.492
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:40.602
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:40.696
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:40.805
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:40.900
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:40.995
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:41.103
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:41.196
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:41.304
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:41.398
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:41.491
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:41.599
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:41.692
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:41.803
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:41.897
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:42.006
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:42.100
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:42.194
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:42.302
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:42.396
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:42.505
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:42.598
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:42.691
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:42.799
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:42.891
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:42.997
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:43.106
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:43.199
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:43.305
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:43.399
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:43.492
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:43.600
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:43.693
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:43.803
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:43.895
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:44.004
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:44.096
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:44.205
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:44.300
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:44.392
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:44.501
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:44.594
