U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:03.192
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:03.292
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:03.391
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:03.491
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:03.592
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:03.691
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:03.791
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:03.892
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:03.991
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:04.091
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:04.191
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:04.291
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:04.392
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:04.491
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:04.591
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:04.691
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:04.792
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:04.891
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:04.991
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:05.091
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:05.191
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:05.291
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:05.391
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:05.491
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:05.591
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:05.692
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:05.791
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:05.891
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:05.992
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:06.091
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:06.191
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:06.291
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:06.391
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:06.491
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:06.591
