Time_ms,Target_RPM,Actual_RPM
1999,0,0.00
2049,0,0.00
2099,0,0.00
2149,0,0.00
2199,0,0.00
2249,0,0.00
2299,0,0.00
2349,0,0.00
2399,0,0.00
2449,0,0.00
2499,0,0.00
2549,0,0.00
2599,0,0.00
2649,0,0.00
2699,0,0.00
2749,0,0.00
2799,0,0.00
2849,0,0.00
2899,0,0.00
2949,0,0.00
2999,0,0.00
3049,0,0.00
3099,0,0.00
3149,0,0.00
3200,0,0.00
3250,0,0.00
3300,0,0.00
3350,0,0.00
3400,0,0.00
3450,0,0.00
3500,0,0.00
3550,0,0.00
3600,0,0.00
3650,0,0.00
3700,0,0.00
3750,0,0.00
3800,0,0.00
3850,0,0.00
3900,0,0.00
3950,0,0.00
4000,0,0.00
4050,0,0.00
4100,0,0.00
4150,0,0.00
4200,0,0.00
4250,0,0.00
4300,0,0.00
4350,0,0.00
4400,0,0.00
4450,0,0.00
4500,0,0.00
4550,0,0.00
4600,0,0.00
4651,0,0.00
4701,0,0.00
4751,0,0.00
4801,0,0.00
4851,0,0.00
4901,0,0.00
4951,0,0.00
5001,1000,0.00
5051,1000,0.00
5101,1000,0.00
5151,1000,0.00
5201,1000,100.00
5251,1000,300.00
5301,1000,400.00
5351,1000,400.00
5401,1000,700.00
5451,1000,700.00
5501,1000,700.00
5551,1000,900.00
5601,1000,800.00
5651,1000,900.00
5701,1000,1000.00
5751,1000,900.00
5801,1000,1000.00
5851,1000,900.00
5901,1000,1000.00
5951,1000,1000.00
6001,1000,1000.00
6051,1000,1000.00
6102,1000,1000.00
6152,1000,900.00
6202,1000,1000.00
6252,1000,1000.00
6302,1000,1000.00
6352,1000,1000.00
6402,1000,1000.00
6452,1000,1000.00
6502,1000,1000.00
6552,1000,1000.00
6602,1000,1000.00
6652,1000,1000.00
6702,1000,1000.00
6752,1000,1000.00
6802,1000,1000.00
6852,1000,1000.00
6902,1000,1000.00
6952,1000,1000.00
7002,1000,1000.00
7052,1000,1000.00
7102,1000,1000.00
7152,1000,1000.00
7202,1000,1000.00
7252,1000,1000.00
7302,1000,1000.00
7352,1000,1000.00
7402,1000,1000.00
7452,1000,1000.00
7502,1000,1000.00
7552,1000,1000.00
7602,1000,1000.00
7652,1000,1000.00
7702,1000,1000.00
7752,1000,1000.00
7802,1000,1000.00
7852,1000,900.00
7902,1000,1000.00
7952,1000,1000.00
8002,1000,1000.00
8052,1000,1000.00
8102,1000,1000.00
8152,1000,1000.00
8202,1000,1000.00
8252,1000,1000.00
8302,1000,1000.00
8352,1000,1000.00
8402,1000,1000.00
8452,1000,1000.00
8502,1000,1000.00
8552,1000,1000.00
8602,1000,1000.00
8652,1000,1000.00
8702,1000,1000.00
8752,1000,1000.00
8802,1000,1000.00
8852,1000,1000.00
8902,1000,1000.00
8952,1000,1000.00
9003,1000,1000.00
9053,1000,1000.00
9103,1000,1000.00
9153,1000,1000.00
9203,1000,1000.00
9253,1000,1000.00
9303,1000,1000.00
9353,1000,1000.00
9403,1000,1000.00
9453,1000,1000.00
9503,1000,1000.00
9553,1000,1000.00
9603,1000,900.00
9653,1000,1100.00
9703,1000,900.00
9753,1000,1000.00
9803,1000,1100.00
9853,1000,900.00
9903,1000,1000.00
9953,1000,1000.00
10003,3000,1000.00
10053,3000,1000.00
10103,3000,1100.00
10153,3000,1100.00
10203,3000,1100.00
10253,3000,1300.00
10303,3000,1400.00
10353,3000,1500.00
10403,3000,1600.00
10454,3000,1800.00
10504,3000,1900.00
10554,3000,2100.00
10604,3000,2200.00
10654,3000,2300.00
10704,3000,2500.00
10754,3000,2600.00
10804,3000,2700.00
10854,3000,2900.00
10904,3000,2900.00
10954,3000,3000.00
11004,3000,3000.00
11054,3000,3000.00
